Rooms,Type,Price,Distance,Bathroom,Car,Landsize,Year,Month,Crime
3,h,1042000.0,13.5,2.0,5.0,612.0,2016,6,737.0
3,h,910000.0,13.5,1.0,1.0,775.0,2016,8,737.0
4,h,773000.0,13.5,3.0,4.0,531.0,2016,8,737.0
3,t,540000.0,13.5,2.0,1.0,161.0,2016,5,737.0
3,t,825000.0,13.5,2.0,1.0,293.0,2016,10,737.0
3,h,685000.0,13.5,1.0,1.0,579.0,2016,4,737.0
3,h,805000.0,13.5,1.0,1.0,623.0,2016,7,737.0
2,u,510000.0,13.5,1.0,1.0,141.0,2016,7,737.0
3,h,612000.0,13.5,2.0,1.0,212.0,2016,7,737.0
3,h,662000.0,13.5,1.0,2.0,612.0,2016,3,737.0
4,h,978000.0,13.5,3.0,2.0,532.0,2016,8,737.0
4,h,765000.0,13.5,1.0,2.0,509.0,2016,10,737.0
4,h,900000.0,13.5,2.0,3.0,628.0,2016,10,737.0
2,h,1275000.0,3.3,1.0,0.0,120.0,2016,2,572.0
2,h,1455000.0,3.3,1.0,0.0,159.0,2016,2,572.0
2,h,1110000.0,3.3,1.0,0.0,147.0,2016,5,572.0
2,h,1550000.0,3.3,1.0,1.0,167.0,2016,6,572.0
4,h,2300000.0,3.3,2.0,1.0,153.0,2016,6,572.0
3,t,1550000.0,3.3,2.0,2.0,718.0,2016,6,572.0
3,h,1800000.0,3.3,2.0,1.0,132.0,2016,6,572.0
2,h,2120000.0,3.3,1.0,1.0,199.0,2016,9,572.0
3,h,1800000.0,3.3,1.0,1.0,253.0,2016,9,572.0
3,h,1800000.0,3.3,2.0,1.0,90.0,2016,9,572.0
2,h,1810000.0,3.3,1.0,0.0,240.0,2016,9,572.0
3,h,2615000.0,3.3,2.0,1.0,177.0,2016,9,572.0
5,h,2100000.0,3.3,2.0,1.0,237.0,2016,9,572.0
3,h,1300000.0,3.3,1.0,0.0,129.0,2016,9,572.0
3,h,1370000.0,3.3,2.0,2.0,0.0,2016,11,572.0
2,h,1000000.0,3.3,1.0,0.0,288.0,2016,11,572.0
3,h,2575000.0,3.3,2.0,1.0,228.0,2016,9,572.0
2,h,1322500.0,3.3,1.0,0.0,149.0,2016,9,572.0
2,h,1562500.0,3.3,1.0,0.0,141.0,2016,9,572.0
3,h,2000000.0,3.3,2.0,1.0,211.0,2016,3,572.0
4,h,2800000.0,3.3,3.0,1.0,327.0,2016,5,572.0
2,u,647000.0,3.3,1.0,1.0,0.0,2016,4,572.0
3,h,2100000.0,3.3,1.0,1.0,120.0,2016,3,572.0
3,h,2000000.0,3.3,1.0,1.0,238.0,2016,8,572.0
3,h,1532000.0,3.3,3.0,1.0,0.0,2016,6,572.0
3,h,3755000.0,3.3,2.0,2.0,325.0,2016,6,572.0
4,h,2140000.0,3.3,2.0,1.0,183.0,2016,5,572.0
2,h,1750000.0,3.3,1.0,1.0,162.0,2016,10,572.0
2,h,980000.0,3.3,1.0,0.0,79.0,2016,4,572.0
3,h,2030000.0,3.3,2.0,0.0,152.0,2016,7,572.0
3,h,1740000.0,3.3,2.0,2.0,147.0,2016,7,572.0
3,h,2800000.0,3.3,3.0,1.0,0.0,2016,6,572.0
1,h,985000.0,3.3,1.0,0.0,81.0,2016,6,572.0
4,h,2000000.0,6.4,2.0,4.0,853.0,2016,2,209.0
3,h,1110000.0,6.4,2.0,2.0,208.0,2016,2,209.0
4,h,1717500.0,6.4,2.0,1.0,599.0,2016,7,209.0
5,h,2840000.0,6.4,4.0,4.0,809.0,2016,11,209.0
2,u,525500.0,6.4,1.0,1.0,88.0,2016,11,209.0
2,t,805000.0,6.4,2.0,3.0,155.0,2016,11,209.0
2,u,465000.0,6.4,1.0,1.0,0.0,2016,11,209.0
3,h,2000000.0,6.4,3.0,2.0,686.0,2016,9,209.0
3,h,1540000.0,6.4,1.0,2.0,592.0,2016,3,209.0
4,h,1830000.0,6.4,2.0,2.0,606.0,2016,10,209.0
4,h,2100000.0,6.4,2.0,2.0,575.0,2016,10,209.0
3,h,865000.0,6.4,1.0,1.0,180.0,2016,4,209.0
2,u,390000.0,6.4,1.0,1.0,0.0,2016,4,209.0
2,t,650000.0,6.4,1.0,0.0,0.0,2016,8,209.0
3,h,1165000.0,6.4,1.0,2.0,979.0,2016,5,209.0
4,h,1900000.0,6.4,2.0,2.0,556.0,2016,10,209.0
3,h,1485000.0,6.4,0.0,0.0,597.0,2016,7,209.0
4,h,1950000.0,6.4,2.0,3.0,589.0,2016,6,209.0
3,h,520000.0,13.8,2.0,1.0,352.0,2016,2,613.0
5,h,1525000.0,13.8,3.0,3.0,729.0,2016,2,613.0
2,t,720000.0,13.8,1.0,2.0,292.0,2016,3,613.0
4,h,780000.0,13.8,1.0,4.0,655.0,2016,3,613.0
4,h,1780000.0,13.8,3.0,6.0,1057.0,2016,3,613.0
3,u,630000.0,13.8,1.0,2.0,311.0,2016,5,613.0
2,u,406000.0,13.8,1.0,1.0,65.0,2016,5,613.0
3,h,660000.0,13.8,1.0,1.0,602.0,2016,6,613.0
3,h,683500.0,13.8,1.0,1.0,530.0,2016,6,613.0
2,u,580000.0,13.8,1.0,1.0,225.0,2016,7,613.0
3,h,1335000.0,13.8,1.0,4.0,777.0,2016,7,613.0
3,t,800000.0,13.8,2.0,2.0,280.0,2016,7,613.0
2,u,510000.0,13.8,1.0,1.0,127.0,2016,9,613.0
4,h,1070000.0,13.8,2.0,2.0,695.0,2016,9,613.0
2,u,425000.0,13.8,1.0,2.0,115.0,2016,9,613.0
3,u,605000.0,13.8,2.0,2.0,230.0,2016,9,613.0
3,t,743000.0,13.8,2.0,2.0,211.0,2016,11,613.0
3,u,730000.0,13.8,2.0,1.0,69.0,2016,7,613.0
3,h,635000.0,13.8,1.0,4.0,625.0,2016,4,613.0
2,u,620000.0,13.8,1.0,1.0,168.0,2016,4,613.0
2,u,447000.0,13.8,1.0,1.0,137.0,2016,9,613.0
3,u,730000.0,13.8,2.0,1.0,70.0,2016,3,613.0
3,h,678000.0,13.8,1.0,2.0,606.0,2016,3,613.0
2,u,580000.0,13.8,2.0,1.0,175.0,2016,6,613.0
3,h,712000.0,13.8,1.0,2.0,363.0,2016,8,613.0
3,h,980000.0,13.8,1.0,2.0,724.0,2016,10,613.0
3,t,605100.0,13.8,2.0,0.0,265.0,2016,4,613.0
3,h,880000.0,13.8,3.0,1.0,577.0,2016,7,613.0
3,u,577000.0,13.8,2.0,1.0,205.0,2016,3,613.0
3,h,753000.0,13.8,2.0,2.0,529.0,2016,5,613.0
2,h,857000.0,13.8,2.0,1.0,675.0,2016,10,613.0
3,h,1500000.0,13.8,1.0,1.0,929.0,2016,4,613.0
3,u,730000.0,13.8,2.0,1.0,70.0,2016,4,613.0
3,h,900000.0,13.8,1.0,4.0,697.0,2016,4,613.0
3,h,740000.0,13.8,1.0,2.0,604.0,2016,7,613.0
4,h,931000.0,13.8,2.0,3.0,532.0,2016,7,613.0
2,h,535600.0,13.8,1.0,1.0,154.0,2016,6,613.0
5,h,1085000.0,11.1,3.0,6.0,592.0,2016,2,967.0
3,h,781000.0,11.1,1.0,2.0,533.0,2016,2,967.0
3,h,683000.0,11.1,1.0,2.0,534.0,2016,3,967.0
3,h,623000.0,11.1,1.0,3.0,540.0,2016,3,967.0
3,h,720000.0,11.1,2.0,1.0,0.0,2016,5,967.0
3,h,588000.0,11.1,1.0,1.0,328.0,2016,6,967.0
3,h,710000.0,11.1,1.0,3.0,540.0,2016,6,967.0
4,h,875000.0,11.1,1.0,4.0,559.0,2016,7,967.0
3,h,700000.0,11.1,1.0,3.0,554.0,2016,9,967.0
4,h,650000.0,11.1,1.0,4.0,558.0,2016,11,967.0
3,h,675000.0,11.1,2.0,2.0,171.0,2016,4,967.0
3,h,708000.0,11.1,1.0,2.0,585.0,2016,9,967.0
4,h,965000.0,11.1,1.0,4.0,851.0,2016,9,967.0
3,h,680000.0,11.1,1.0,3.0,551.0,2016,10,967.0
3,h,770000.0,11.1,1.0,3.0,602.0,2016,10,967.0
3,h,923000.0,11.1,1.0,2.0,740.0,2016,4,967.0
4,h,693000.0,11.1,2.0,4.0,315.0,2016,4,967.0
3,h,620000.0,11.1,2.0,2.0,276.0,2016,7,967.0
3,h,728500.0,11.1,1.0,1.0,531.0,2016,7,967.0
3,h,931000.0,11.1,2.0,1.0,590.0,2016,7,967.0
3,h,988000.0,11.1,1.0,4.0,715.0,2016,7,967.0
3,h,590000.0,11.1,1.0,2.0,561.0,2016,3,967.0
2,h,610000.0,11.1,1.0,2.0,691.0,2016,8,967.0
4,h,760000.0,11.1,1.0,3.0,668.0,2016,5,967.0
4,t,847500.0,11.1,3.0,1.0,252.0,2016,5,967.0
4,h,1200000.0,11.1,1.0,4.0,633.0,2016,10,967.0
3,h,700000.0,11.1,1.0,1.0,557.0,2016,10,967.0
3,h,625000.0,11.1,1.0,1.0,536.0,2016,4,967.0
2,u,292000.0,11.1,1.0,1.0,153.0,2016,7,967.0
2,u,599000.0,6.3,1.0,1.0,0.0,2016,2,561.0
2,u,550000.0,6.3,1.0,0.0,861.0,2016,2,561.0
3,u,995000.0,6.3,2.0,2.0,0.0,2016,2,561.0
3,t,1205000.0,6.3,2.0,2.0,101.0,2016,2,561.0
3,h,1939000.0,6.3,2.0,2.0,296.0,2016,2,561.0
1,u,421500.0,6.3,1.0,0.0,0.0,2016,2,561.0
2,u,700000.0,6.3,1.0,2.0,0.0,2016,3,561.0
2,u,3625000.0,6.3,2.0,2.0,0.0,2016,3,561.0
4,h,3000000.0,6.3,2.0,2.0,1581.0,2016,3,561.0
5,h,1525000.0,6.3,2.0,2.0,693.0,2016,6,561.0
3,u,735000.0,6.3,2.0,1.0,2113.0,2016,6,561.0
2,u,825000.0,6.3,1.0,1.0,0.0,2016,6,561.0
3,t,1586000.0,6.3,2.0,2.0,246.0,2016,6,561.0
2,u,645000.0,6.3,1.0,1.0,0.0,2016,7,561.0
1,h,1435000.0,6.3,2.0,1.0,144.0,2016,7,561.0
1,u,280000.0,6.3,1.0,1.0,0.0,2016,9,561.0
1,u,400000.0,6.3,1.0,1.0,0.0,2016,9,561.0
2,h,1780000.0,6.3,2.0,2.0,0.0,2016,9,561.0
2,u,592500.0,6.3,1.0,1.0,0.0,2016,9,561.0
2,h,1210000.0,6.3,1.0,0.0,249.0,2016,11,561.0
4,h,2801000.0,6.3,2.0,2.0,624.0,2016,11,561.0
1,u,390000.0,6.3,1.0,0.0,881.0,2016,4,561.0
3,h,1800000.0,6.3,2.0,2.0,405.0,2016,9,561.0
4,h,2200000.0,6.3,1.0,2.0,495.0,2016,9,561.0
1,u,324000.0,6.3,1.0,1.0,0.0,2016,3,561.0
6,h,5525000.0,6.3,3.0,4.0,1491.0,2016,8,561.0
2,h,1125000.0,6.3,1.0,2.0,169.0,2016,8,561.0
3,h,2250000.0,6.3,3.0,1.0,301.0,2016,8,561.0
2,u,490000.0,6.3,1.0,1.0,0.0,2016,5,561.0
3,h,2365000.0,6.3,2.0,1.0,316.0,2016,5,561.0
3,h,1300000.0,6.3,1.0,2.0,212.0,2016,5,561.0
3,u,732000.0,6.3,2.0,2.0,0.0,2016,5,561.0
2,u,704000.0,6.3,1.0,1.0,0.0,2016,10,561.0
2,u,620000.0,6.3,1.0,1.0,0.0,2016,10,561.0
3,h,1900000.0,6.3,1.0,2.0,328.0,2016,4,561.0
1,u,315000.0,6.3,1.0,1.0,0.0,2016,7,561.0
1,u,450000.0,6.3,1.0,1.0,0.0,2016,8,561.0
2,u,520000.0,6.3,1.0,1.0,0.0,2016,5,561.0
4,h,3625000.0,6.3,1.0,2.0,709.0,2016,10,561.0
4,h,4200000.0,6.3,3.0,3.0,563.0,2016,10,561.0
3,t,1101000.0,6.3,1.0,2.0,103.0,2016,10,561.0
3,h,3512500.0,6.3,2.0,2.0,617.0,2016,10,561.0
4,h,2000000.0,6.3,3.0,4.0,544.0,2016,4,561.0
3,u,869000.0,6.3,1.0,1.0,0.0,2016,4,561.0
5,h,2810000.0,6.3,2.0,2.0,617.0,2016,7,561.0
2,u,565000.0,6.3,1.0,1.0,0.0,2016,7,561.0
1,u,567000.0,6.3,1.0,1.0,0.0,2016,7,561.0
2,u,546000.0,6.3,0.0,0.0,0.0,2016,6,561.0
2,u,471500.0,6.3,1.0,1.0,0.0,2016,6,561.0
2,u,455000.0,5.9,1.0,2.0,0.0,2016,2,1271.0
3,h,940000.0,5.9,1.0,2.0,298.0,2016,2,1271.0
2,u,467000.0,5.9,1.0,1.0,0.0,2016,2,1271.0
3,h,971000.0,5.9,2.0,2.0,285.0,2016,3,1271.0
2,h,710000.0,5.9,1.0,1.0,214.0,2016,3,1271.0
6,h,2425000.0,5.9,3.0,2.0,1014.0,2016,3,1271.0
2,h,750000.0,5.9,1.0,1.0,226.0,2016,3,1271.0
2,h,1053000.0,5.9,1.0,1.0,269.0,2016,5,1271.0
3,h,1377000.0,5.9,1.0,1.0,417.0,2016,5,1271.0
3,h,970000.0,5.9,1.0,2.0,350.0,2016,6,1271.0
2,h,940000.0,5.9,1.0,1.0,330.0,2016,6,1271.0
2,h,751000.0,5.9,1.0,1.0,118.0,2016,6,1271.0
2,h,950000.0,5.9,1.0,1.0,173.0,2016,6,1271.0
2,u,685000.0,5.9,1.0,2.0,228.0,2016,6,1271.0
3,h,1230000.0,5.9,1.0,2.0,594.0,2016,7,1271.0
2,h,636500.0,5.9,1.0,1.0,0.0,2016,7,1271.0
3,h,910000.0,5.9,1.0,0.0,317.0,2016,7,1271.0
2,h,770000.0,5.9,1.0,1.0,226.0,2016,9,1271.0
3,h,960000.0,5.9,2.0,2.0,229.0,2016,9,1271.0
4,h,890000.0,5.9,1.0,1.0,300.0,2016,9,1271.0
2,h,965000.0,5.9,1.0,1.0,170.0,2016,9,1271.0
2,u,450000.0,5.9,1.0,1.0,0.0,2016,11,1271.0
3,h,801000.0,5.9,1.0,2.0,431.0,2016,11,1271.0
3,h,1000000.0,5.9,2.0,2.0,440.0,2016,11,1271.0
3,h,1435000.0,5.9,2.0,2.0,532.0,2016,11,1271.0
1,u,390000.0,5.9,1.0,1.0,0.0,2016,11,1271.0
3,h,1425000.0,5.9,2.0,2.0,495.0,2016,7,1271.0
4,h,1340000.0,5.9,2.0,2.0,683.0,2016,4,1271.0
3,h,955000.0,5.9,1.0,1.0,263.0,2016,4,1271.0
4,h,1100000.0,5.9,2.0,5.0,559.0,2016,9,1271.0
3,h,1255000.0,5.9,2.0,2.0,308.0,2016,9,1271.0
2,u,432000.0,5.9,1.0,1.0,0.0,2016,9,1271.0
4,h,1640000.0,5.9,3.0,2.0,562.0,2016,3,1271.0
6,h,1430000.0,5.9,2.0,1.0,461.0,2016,3,1271.0
2,u,610000.0,5.9,1.0,1.0,301.0,2016,3,1271.0
3,h,940000.0,5.9,3.0,1.0,491.0,2016,3,1271.0
3,h,890000.0,5.9,1.0,1.0,242.0,2016,6,1271.0
3,h,1180000.0,5.9,2.0,2.0,617.0,2016,8,1271.0
4,h,1480000.0,5.9,2.0,2.0,597.0,2016,8,1271.0
2,t,705000.0,5.9,2.0,1.0,113.0,2016,5,1271.0
2,u,442000.0,5.9,1.0,1.0,0.0,2016,5,1271.0
2,u,540000.0,5.9,2.0,1.0,0.0,2016,10,1271.0
3,h,1037500.0,5.9,1.0,2.0,506.0,2016,10,1271.0
3,t,1050000.0,5.9,2.0,2.0,318.0,2016,10,1271.0
2,u,440000.0,5.9,1.0,1.0,0.0,2016,10,1271.0
2,h,1010000.0,5.9,1.0,1.0,325.0,2016,10,1271.0
4,h,1430000.0,5.9,2.0,0.0,418.0,2016,4,1271.0
2,u,570000.0,5.9,1.0,1.0,0.0,2016,4,1271.0
2,u,690000.0,5.9,1.0,1.0,0.0,2016,4,1271.0
3,h,1291000.0,5.9,1.0,2.0,414.0,2016,3,1271.0
3,h,1130000.0,5.9,2.0,1.0,272.0,2016,3,1271.0
3,h,1135000.0,5.9,1.0,1.0,296.0,2016,8,1271.0
4,h,950000.0,5.9,2.0,1.0,298.0,2016,8,1271.0
3,u,790000.0,5.9,2.0,1.0,0.0,2016,8,1271.0
3,h,940000.0,5.9,2.0,2.0,285.0,2016,6,1271.0
3,h,995000.0,5.9,2.0,1.0,314.0,2016,6,1271.0
3,h,1050000.0,5.9,1.0,3.0,536.0,2016,6,1271.0
3,h,786000.0,5.9,2.0,1.0,576.0,2016,6,1271.0
2,h,705000.0,5.9,1.0,3.0,252.0,2016,5,1271.0
2,h,760000.0,5.9,1.0,1.0,124.0,2016,5,1271.0
3,u,487500.0,5.9,1.0,3.0,0.0,2016,5,1271.0
3,t,1000000.0,5.9,2.0,2.0,200.0,2016,10,1271.0
4,h,1110000.0,5.9,2.0,1.0,349.0,2016,10,1271.0
4,h,1300000.0,5.9,1.0,4.0,664.0,2016,10,1271.0
3,h,1060000.0,5.9,1.0,1.0,555.0,2016,10,1271.0
3,h,1410000.0,5.9,2.0,2.0,459.0,2016,10,1271.0
3,h,1305000.0,5.9,1.0,1.0,278.0,2016,4,1271.0
3,h,932500.0,5.9,2.0,1.0,254.0,2016,4,1271.0
3,h,965000.0,5.9,1.0,0.0,216.0,2016,7,1271.0
3,h,1215000.0,5.9,1.0,1.0,452.0,2016,7,1271.0
2,u,545000.0,5.9,1.0,2.0,194.0,2016,7,1271.0
4,h,1705000.0,5.9,2.0,4.0,598.0,2016,6,1271.0
3,h,970000.0,5.9,1.0,1.0,194.0,2016,6,1271.0
2,h,925000.0,5.9,1.0,1.0,407.0,2016,6,1271.0
4,h,2650000.0,11.0,3.0,2.0,753.0,2016,2,382.0
3,h,1670000.0,11.0,2.0,2.0,599.0,2016,2,382.0
3,t,955000.0,11.0,2.0,2.0,203.0,2016,2,382.0
3,t,2050000.0,11.0,3.0,4.0,310.0,2016,2,382.0
3,h,1555000.0,11.0,2.0,2.0,731.0,2016,3,382.0
3,h,1100000.0,11.0,3.0,2.0,276.0,2016,7,382.0
3,h,1337000.0,11.0,1.0,2.0,583.0,2016,7,382.0
8,h,2950000.0,11.0,7.0,4.0,1472.0,2016,9,382.0
4,h,2215000.0,11.0,2.0,1.0,681.0,2016,9,382.0
3,h,1518000.0,11.0,2.0,2.0,516.0,2016,9,382.0
3,h,1710000.0,11.0,1.0,2.0,806.0,2016,9,382.0
3,h,1655000.0,11.0,1.0,3.0,780.0,2016,9,382.0
4,h,1550000.0,11.0,2.0,2.0,780.0,2016,11,382.0
3,h,1662000.0,11.0,2.0,2.0,351.0,2016,4,382.0
3,h,1665000.0,11.0,2.0,3.0,702.0,2016,9,382.0
2,h,1445000.0,11.0,1.0,2.0,704.0,2016,3,382.0
3,t,968000.0,11.0,1.0,1.0,227.0,2016,5,382.0
3,t,900000.0,11.0,2.0,2.0,153.0,2016,10,382.0
3,h,1500000.0,11.0,1.0,2.0,545.0,2016,4,382.0
5,h,2752000.0,11.0,4.0,2.0,1075.0,2016,7,382.0
3,h,1500000.0,11.0,2.0,2.0,710.0,2016,7,382.0
3,h,1415000.0,11.0,1.0,1.0,605.0,2016,5,382.0
2,h,1440000.0,11.0,1.0,1.0,687.0,2016,5,382.0
4,t,1250000.0,11.0,2.0,2.0,321.0,2016,10,382.0
3,h,1422000.0,11.0,1.0,2.0,583.0,2016,10,382.0
5,h,1600000.0,11.0,3.0,4.0,700.0,2016,10,382.0
4,h,1860000.0,11.0,2.0,3.0,696.0,2016,10,382.0
3,t,1710000.0,11.0,2.0,2.0,295.0,2016,10,382.0
4,h,1790000.0,11.0,2.0,2.0,514.0,2016,4,382.0
4,h,1950000.0,11.0,2.0,2.0,844.0,2016,4,382.0
3,h,1600000.0,11.0,1.0,2.0,637.0,2016,4,382.0
3,h,1320000.0,11.0,1.0,2.0,1063.0,2016,7,382.0
3,h,1650000.0,11.0,1.0,1.0,697.0,2016,7,382.0
2,h,995000.0,12.2,1.0,1.0,583.0,2016,2,415.0
3,h,1250000.0,12.2,1.0,1.0,842.0,2016,2,415.0
2,h,1075000.0,12.2,1.0,2.0,695.0,2016,3,415.0
4,h,1500000.0,12.2,2.0,2.0,621.0,2016,5,415.0
3,h,1120000.0,12.2,1.0,2.0,723.0,2016,6,415.0
2,t,700000.0,12.2,1.0,2.0,367.0,2016,6,415.0
3,h,761000.0,12.2,2.0,4.0,400.0,2016,6,415.0
4,h,1270000.0,12.2,2.0,1.0,724.0,2016,7,415.0
4,h,1510000.0,12.2,2.0,2.0,526.0,2016,7,415.0
3,h,1365000.0,12.2,1.0,1.0,792.0,2016,9,415.0
4,h,1100000.0,12.2,2.0,2.0,803.0,2016,9,415.0
4,h,1415000.0,12.2,3.0,2.0,724.0,2016,7,415.0
2,u,690000.0,12.2,1.0,1.0,216.0,2016,4,415.0
3,h,1631000.0,12.2,2.0,3.0,782.0,2016,9,415.0
4,h,1500000.0,12.2,2.0,1.0,593.0,2016,9,415.0
3,h,1060000.0,12.2,1.0,2.0,772.0,2016,6,415.0
5,h,1529500.0,12.2,3.0,2.0,585.0,2016,8,415.0
2,u,535000.0,12.2,1.0,1.0,72.0,2016,5,415.0
3,h,785000.0,12.2,1.0,1.0,557.0,2016,10,415.0
4,h,1240000.0,12.2,2.0,2.0,766.0,2016,10,415.0
2,u,700000.0,12.2,1.0,2.0,192.0,2016,7,415.0
4,h,1350000.0,12.2,2.0,1.0,727.0,2016,8,415.0
2,h,1110000.0,12.2,1.0,1.0,586.0,2016,8,415.0
3,t,900500.0,12.2,2.0,2.0,256.0,2016,10,415.0
3,h,1200000.0,12.2,2.0,2.0,839.0,2016,4,415.0
3,t,830000.0,12.2,1.0,2.0,212.0,2016,7,415.0
3,h,850000.0,10.5,1.0,1.0,593.0,2016,2,394.0
3,h,750000.0,10.5,1.0,1.0,0.0,2016,2,394.0
3,t,851000.0,10.5,3.0,1.0,557.0,2016,2,394.0
4,h,1155000.0,10.5,2.0,2.0,569.0,2016,3,394.0
3,h,670000.0,10.5,2.0,2.0,671.0,2016,3,394.0
4,h,1200000.0,10.5,5.0,4.0,673.0,2016,3,394.0
3,h,636000.0,10.5,1.0,2.0,571.0,2016,3,394.0
3,h,680000.0,10.5,1.0,2.0,570.0,2016,5,394.0
4,h,1160000.0,10.5,3.0,2.0,789.0,2016,6,394.0
3,h,750000.0,10.5,1.0,1.0,529.0,2016,7,394.0
3,h,627500.0,10.5,1.0,1.0,550.0,2016,7,394.0
3,t,880000.0,10.5,2.0,2.0,339.0,2016,7,394.0
4,h,950000.0,10.5,3.0,3.0,761.0,2016,9,394.0
4,h,1600000.0,10.5,3.0,3.0,1801.0,2016,9,394.0
3,h,650000.0,10.5,1.0,3.0,574.0,2016,9,394.0
3,h,725000.0,10.5,1.0,4.0,606.0,2016,9,394.0
3,u,665000.0,10.5,2.0,1.0,289.0,2016,3,394.0
3,h,560500.0,10.5,1.0,1.0,177.0,2016,3,394.0
3,h,615000.0,10.5,1.0,2.0,649.0,2016,6,394.0
3,h,845000.0,10.5,1.0,3.0,704.0,2016,6,394.0
3,h,585000.0,10.5,1.0,2.0,322.0,2016,8,394.0
5,h,850000.0,10.5,2.0,4.0,574.0,2016,5,394.0
3,h,705000.0,10.5,1.0,1.0,581.0,2016,4,394.0
4,h,1100000.0,10.5,3.0,2.0,873.0,2016,4,394.0
3,h,892500.0,10.5,1.0,1.0,586.0,2016,4,394.0
3,h,695000.0,10.5,1.0,2.0,588.0,2016,3,394.0
2,h,522500.0,10.5,1.0,1.0,220.0,2016,8,394.0
4,h,680000.0,10.5,2.0,2.0,554.0,2016,8,394.0
3,u,500000.0,10.5,1.0,1.0,260.0,2016,8,394.0
2,t,550000.0,10.5,1.0,2.0,158.0,2016,8,394.0
3,h,635000.0,10.5,1.0,1.0,597.0,2016,6,394.0
4,h,762000.0,10.5,2.0,2.0,589.0,2016,6,394.0
2,u,411000.0,10.5,1.0,1.0,0.0,2016,10,394.0
4,h,790000.0,10.5,2.0,2.0,570.0,2016,10,394.0
4,h,605000.0,10.5,1.0,0.0,569.0,2016,10,394.0
3,h,805000.0,10.5,2.0,2.0,593.0,2016,10,394.0
4,h,890000.0,10.5,2.0,4.0,585.0,2016,10,394.0
3,h,795000.0,10.5,1.0,1.0,549.0,2016,4,394.0
3,h,634000.0,10.5,2.0,1.0,582.0,2016,4,394.0
3,h,642000.0,10.5,1.0,1.0,590.0,2016,7,394.0
